id,title,publish_utc,sports_name,user_name,likes,views
269,F1 legend Niki Lauda passes away,2019-05-21 20:55:33,F1,Aravind Viswanath,0,829
270,Raptors claw back into the reckoning against Bucks,2019-05-21 20:53:39,Basketball,Aravind Viswanath,0,51
271,Warriors make it to the fifth successive NBA Finals,2019-05-21 20:54:27,Basketball,Aravind Viswanath,0,49
272,Raptors even things against Bucks in Game 4 of the Eastern Conference NBA Finals,2019-05-22 22:20:56,Basketball,Aravind Viswanath,0,43
273,Raptors win 3rd straight game to go 3-2 up against Bucks,2019-05-24 16:19:21,Basketball,Aravind Viswanath,0,52
274,Bayern thrash Leipzig to clinch the domestic double,2019-05-25 21:55:33,Football,Aravind Viswanath,0,27
275,Valencia upsets Messi's Barcelona to win the Copa del Rey,2019-05-25 21:56:37,Football,Aravind Viswanath,0,804
276,Lewis Hamilton wins the Monaco Grand Prix,2019-05-26 20:57:50,F1,Aravind Viswanath,0,818
277,India disappoint against New Zealand in the first World Cup warm-up,2019-05-26 20:57:01,Cricket,Aravind Viswanath,0,37
278,Kawhi Leonard and Raptors march on to the NBA Finals to face off against the Warriors,2019-05-27 20:56:24,Basketball,Aravind Viswanath,0,808
279,Caroline Wozniacki crashes out in the first round of the French Open,2019-05-27 20:55:17,Tennis,Aravind Viswanath,0,36
280,2019 Cricket World Cup: Key Australian players to watch out for,2019-05-28 12:25:46,Cricket,Amrit,0,49
281,Europa League Final 2019: Arsenal vs Chelsea - The big countdown,2019-05-28 18:39:04,Football,Aravind Viswanath,0,849
282,Players to watch out at the 2019 Cricket World Cup – Team England,2019-05-29 13:16:26,Cricket,Ayaktan Roy,0,838
283,The 2018-19 UEFA Champions League Final: In Summary,2019-05-29 13:17:54,Football,Aravind Viswanath,0,842
284,Why The White Ball Won't Swing In The World Cup,2019-05-30 16:45:24,Cricket,Garfield Robinson,0,909
285,2019 Cricket World Cup: Key South African players to watch out for,2019-05-30 20:46:57,Cricket,Amrit,0,34
286,NBA Finals 2019: Golden State Warriors vs Toronto Raptors - Preview,2019-05-30 20:45:28,Basketball,Aravind Viswanath,0,819
287,CWC 2019 Players to watch out for - Team West indies,2019-05-31 11:18:19,Cricket,Ayaktan Roy,0,45
288,Raptors stun the Warriors in Game 1 of the NBA Finals,2019-06-01 11:46:36,Basketball,Aravind Viswanath,0,836
289,CWC 2019 Team India: Players to watch out for,2019-06-01 17:02:21,Cricket,Ayaktan Roy,0,32
290,Liverpool outclasses Tottenham to win the UEFA Champions League,2019-06-02 11:23:39,Football,Aravind Viswanath,0,815
291,CWC 2019 Team New Zealand: Players to watch out for,2019-06-03 07:17:43,Cricket,Amrit,0,27
293,Predicting the men's division at the 2019 French Open,2019-06-04 09:13:14,Tennis,niraj prasad,0,1071
294,Warriors pull things back in Game 2 of the NBA Finals,2019-06-04 21:19:54,Basketball,Aravind Viswanath,0,820
296,Predicting India's opening World Cup match against South Africa,2019-06-05 08:12:36,Cricket,niraj prasad,0,857
298,French Open gears up for Fedal semifinal,2019-06-05 13:29:28,Tennis,Aravind Viswanath,0,805
299,SportCo: A revolutionary platform for sports-crazy fans,2019-06-05 14:14:09,SportCo,Aravind Viswanath,0,848
302,Raptors thrash Warriors to go 2-1 up in the NBA Finals,2019-06-06 18:03:42,Basketball,Aravind Viswanath,0,26
303,Djokovic crushes Zverev to set up last four clash with Dominic Thiem,2019-06-06 18:04:39,Tennis,Aravind Viswanath,0,38
305,Predicting the World Cup clash between Pakistan and Sri Lanka,2019-06-07 07:56:16,Cricket,niraj prasad,0,46
306,Kenya beat Madagascar by a solitary goal courtesy a Wanyama spot kick,2019-06-08 18:48:19,Football,Fred Wangila,1,49
307,Nadal annihilates Federer to reach the French Open final,2019-06-07 20:04:57,Tennis,Aravind Viswanath,0,28
308,Predicting the World Cup clash between England and Bangladesh,2019-06-08 08:59:10,Cricket,niraj prasad,0,66
309,Raptors demolish mighty Warriors in Game 4 and are within one win of being champions,2019-06-08 18:49:23,Basketball,Aravind Viswanath,0,16
310,India get the better of defending champions Australia at the ICC Cricket World Cup,2019-06-09 18:49:15,Cricket,Aravind Viswanath,0,16
311,Rafael Nadal is the French Open Champion for the twelfth time,2019-06-09 18:47:07,Tennis,Aravind Viswanath,0,17
312,Portugal defeat the Netherlands to win the inaugural UEFA Nations League,2019-06-10 17:56:31,Football,Aravind Viswanath,0,24
313,Yuvraj Singh: The Prince of Indian Cricket,2019-06-11 11:47:54,Cricket,Amrit,0,21
314,Warriors beat Raptors 106-105 in Game 5 of the NBA Finals,2019-06-11 11:40:28,Basketball,Aravind Viswanath,0,16
320,Hamilton wins the Canadian Grand Prix as Vettel's penalty hits Ferrari hard,2019-06-12 18:09:10,F1,Aravind Viswanath,0,6
321,Morgan magic sees USA annihilate Thailand in the Women's Football World Cup,2019-06-12 18:10:21,Football,Aravind Viswanath,0,17
