id,title,publish_utc,sports_name,user_name,likes,views
81,A look at Liverpool's 2018/19 title charge,2019-03-28 07:16:07,Football,Duane Hill,1,161
82,The five worst NBA trades in its history,2019-02-01 15:23:50,Basketball,Aravind Viswanath,0,157
83,Five biggest bust-ups between players and managers in England,2019-02-01 15:56:03,Football,Aravind Viswanath,0,163
84,Three most surprising French Open Champions,2019-02-02 23:02:36,Tennis,Aravind Viswanath,0,131
85,Five biggest deals during the 2019 January transfer window,2019-02-03 01:07:53,Football,Aravind Viswanath,0,119
86,Top five contenders for the ICC Cricket World Cup 2019,2019-02-03 21:00:44,Cricket,Aravind Viswanath,0,381
87,Three of the worst fouls that football has ever seen,2019-02-03 21:51:00,Football,Aravind Viswanath,0,167
88,The five most challenging Formula One circuits,2019-02-04 19:38:22,F1,Aravind Viswanath,0,211
89,The five most iconic penalty misses in football,2019-02-04 20:09:12,Football,Aravind Viswanath,0,255
90,Top three contenders for the NBA MVP 2018-19,2019-02-06 05:06:12,Basketball,Aravind Viswanath,0,160
91,Five reasons Manchester United should extend Ole Gunnar Solksjaer's tenure,2019-02-06 05:34:13,Football,Aravind Viswanath,0,104
92,Five most memorable matches in El Clásico history,2019-02-07 22:25:50,Football,Aravind Viswanath,0,174
93,Three biggest all-time rivalries in tennis,2019-02-07 22:54:44,Tennis,Aravind Viswanath,0,179
94,Five fastest smashes in the history of badminton,2019-02-08 20:12:13,Table Tennis,Aravind Viswanath,0,244
95,Five controversial red cards in football history,2019-02-08 20:31:03,Football,Aravind Viswanath,0,129
96,Five fastest centuries in ODI cricket history,2019-02-10 12:26:52,Cricket,Aravind Viswanath,0,126
97,Five craziest goal celebrations ever in football history,2019-02-10 12:53:26,Football,Aravind Viswanath,0,162
98,Five most fastest laps by F1 drivers who are currently on the grid,2019-02-11 21:42:20,F1,Aravind Viswanath,0,150
99,Top five footballers to have never received a red card at the club level,2019-02-11 22:11:04,Football,Aravind Viswanath,0,124
100,Top five injury-prone football players,2019-02-12 11:46:10,Football,Aravind Viswanath,0,160
101,Five best male young prodigies in modern tennis,2019-02-12 18:16:51,Tennis,Aravind Viswanath,0,182
102,Top five contenders for the UEFA Champions League 2018-19,2019-02-16 15:24:12,Football,Aravind Viswanath,0,210
103,Summarising Kusal Perera's incredible heroics for Sri Lanka in Durban,2019-02-16 15:36:27,Cricket,Aravind Viswanath,0,117
104,Players of Indian descent who have plied their trade in the NBA,2019-02-18 12:36:16,Basketball,Aravind Viswanath,0,168
105,Chelsea vs Manchester United: FA Cup history over the years,2019-02-18 19:28:18,Football,Aravind Viswanath,0,102
106,Top five iconic tennis stadiums in the world,2019-02-19 15:21:14,Tennis,Aravind Viswanath,0,259
107,Why it is almost game over for Maurizio Sarri at Chelsea after its defeat to Manchester United,2019-02-19 15:35:27,Football,Aravind Viswanath,0,99
108,Three biggest Formula 1 accidents in the history of the racing sport,2019-02-20 17:56:51,F1,Aravind Viswanath,0,289
109,Top five contenders for the 2019 African Cup of Nations,2019-02-20 18:17:03,Football,Aravind Viswanath,0,151
110,Five highest run chases by India in ODI history,2019-02-21 17:03:28,Cricket,Aravind Viswanath,0,146
111,The tactical masterclass from Diego Simeone that saw Atletico Madrid win 2-0 against Juventus,2019-02-21 17:47:09,Football,Aravind Viswanath,0,112
112,The five best dunkers in NBA history,2019-02-22 18:10:36,Basketball,Aravind Viswanath,0,265
113,Why Mesut Ozil has to be central to Unai Emery's plans if Arsenal are to succeed this season,2019-02-22 18:40:54,Football,Aravind Viswanath,0,119
114,The five fastest official serves in the history of tennis,2019-02-23 19:40:14,Tennis,Aravind Viswanath,0,206
115,How the two-year transfer ban could impact Chelsea players,2019-02-23 19:57:45,Football,Aravind Viswanath,0,95
116,Lionel Messi heroics power FC Barcelona to go ten points clear on top of the La Liga table,2019-02-24 20:38:29,Football,Aravind Viswanath,0,114
117,Fun trivia about Formula One,2019-02-24 20:35:08,F1,Aravind Viswanath,0,280
118,What are the factors that influence value of a Utility Token?,2019-02-25 10:50:12,SportCo,SportCo,0,150
119,Australia edge India in the first T20I match in a last-ball thriller in Visakhapatnam,2019-02-25 21:32:47,Cricket,Aravind Viswanath,0,95
120,Manchester City are Carabao Cup champions for the second straight season,2019-02-25 21:46:29,Football,Aravind Viswanath,0,105
121,Five most successful men's national basketball sides,2019-02-26 20:22:49,Basketball,Aravind Viswanath,0,234
122,Injury-stricken Manchester United hold leaders Liverpool to a goalless draw at Old Trafford,2019-02-26 21:20:13,Football,Aravind Viswanath,0,105
123,Majestic Maxwell powers Aussies to a 2-0 win as Kohli suffers his first home series loss as captain,2019-02-27 18:56:39,Cricket,Aravind Viswanath,0,94
124,Late controversy sees Fiorentina equalise against Inter Milan in a topsy turvy six-goal thriller,2019-02-27 19:17:03,Football,Aravind Viswanath,0,117
125,Nick Kyrgios upsets top seed Rafael Nadal in an engaging encounter at the Mexican Open,2019-02-28 20:50:16,Tennis,Aravind Viswanath,0,150
126,FC Barcelona storm into the Copa del Rey final after ousting arch rivals Real Madrid,2019-02-28 21:22:29,Football,Aravind Viswanath,0,90
127,Five biggest controversies in Formula 1 history,2019-03-01 22:41:20,F1,Aravind Viswanath,0,191
128,Why Ole Gunnar Solksjaer should get the permanent Manchester United role,2019-03-01 22:54:06,Football,Aravind Viswanath,0,87
129,India go 1-0 up in the ODI series Australia thanks to Kedar Jadhav and Mohammed Shami,2019-03-03 01:44:25,Cricket,Aravind Viswanath,0,110
130,Bayern are level on points with Dortmund after a thrashing performance in the Bundesliga,2019-03-03 01:57:13,Football,Aravind Viswanath,0,85
131,Federer makes history by winning his 100th career ATP Singles Title,2019-03-03 21:59:34,Tennis,Aravind Viswanath,0,120
132,Liverpool hand the advantage to Manchester City as they get held 0-0 in the Merseyside derby,2019-03-03 22:16:17,Football,Aravind Viswanath,0,90
